sentiment,tweet_content
0,hey go noel field friday
0,nick watney hit courserecord sunday take cimb classic titl
0,pleas rememb deadlin quarter box top educ trash cash fundrais
0,wish could church tonight realli reason
0,wow sti today sinc singapor independ day
0,last lick come top volar gipsi king mean frieri time
1,clear vike game sunday thank god got rid cuntsniff cundiff
1,cabin fever drop tomorrow way better taylor allderdic still pump
0,sema kick la vega tomorrow friend built wildcat gbc
1,thing want live toronto work school pursu act second cityand banff work januari
0,friday last day earli vote maryland pleas join vote question
0,follow meet novemb bell center pleas fredo
1,heart gold twat glass cmon babi see yesa glass twatbett known womb view lol
0,open sourc misconcept fade web south africa may five year behind rest
0,premier leagu team week walcott make seventh appear season sagna also featur
1,hello everybodi today beauti green day
0,soni playstat network store receiv overhaul next wednesday octob pal territori octob north
1,hey angelo never thought match food wine saturday kitchen perfect job delic palat
0,espn indian fire manag acta six game left cleveland indian fire manag manni acta thursday
0,love like michael jackson nose never understand
0,elvi presley death anniversari aug aug today independ day pakistan
0,go social media week chicago tomorrow morn bounc trib tower illini center amp depaul day
0,big thur come footbal richwood ouachita grambl oc amp fred cover
0,go pack tomorrow edmonton
0,think may know stori parti nail salina gomez jam finger night grammi award rock parti toe today
-1,even tri cuz close funni though maria said guy may away week ask want
0,new poster gig david hall april ruthi henshal
1,taken sit window david hotel cardiff bay ian celebr wed anniversari
-1,stfu wit excus clipper gon beat hell outta laker tomorrow
1,yup strawberri festiv late febearli mar
0,ganda din pala unoffici may pagkafriend benefit thing ganda pagkaart johnllyod angel epic
-1,famili guy crap tonight
-1,morn want watch vampir diari sad
1,best thing thursday night definit celebr juic
1,flashback friday dalla star settl victori new dig aac watch first game
0,lpg consum fill kyc form till nov govern extend day deadlin fill
0,play never play game bought mass effect wait halo idk ill ever play
0,also west liberti play regularseason game februari
0,raider buccan game coverag raider take tampa bay buccan sunday oakland
0,mik ram amp dog use work lad eng lang nearli major incid simpl misinterpret
1,anoth huge firework show dearborn homecom big enough rival detroit happen tomorrow night
1,great piec joe cole demis tomorrow independ cole first england player younger
1,quieter si brother law habibti go back ireland afternoon tenni doubl sound fun enjoy
-1,trina friday stop support day found thibodaux showcas lol
-1,met may perfect piss somewher like mexico citi like
0,like think somewher midatlant georg clooney look sky mutter may perfect storm
1,hand applic mari colvin scholarship sunday time excit moment
0,band practic tonight work set benefit sat tallahasse
0,new post rob kyle jacki show tuesday
0,let real even wit injur flacco fuckin doin bad road amp playin like shit still best team afc
1,good see real progress cleanup rebuild henryvil march tornado
0,crazi meet old nba player pick larri bird
-1,congratul idiot riot nth london tonight suppos see educ relat protest soon
0,bio watch republican debat smash pineappl sherbet sure make even lol
1,black lion tonight auburn ave shout
0,torr call respect player feud cross line saturday morn torr ipad chime news
1,late come monday night open mic sing good time iguana till
1,rsvp annual dinner close monday sure regist via websit asap
0,elon univers color maroon gold want see green white orang tomorrow
0,awwwww shelley univers tuesday florida mall fli home tonight
-1,said made keith richard look babi face may actual said
1,wait april go see riri concert
1,finish fill fafsa scholarship applic hope process novemb caus need
1,sun iguana activ
0,chandigarh capit two state panjab haryana march world meteorolog day march world forestri day
1,cri everi episod dream high start episod tomorrow shall watch last final episod
0,least three month sinc heard lmfao song give anoth month two may ventur outsid
1,lift peopl affect area especiali may experi god hold close heart
-1,wow drew peterson convict septemb murder wide never found bodi wide smfh
-1,watch cannavaro even embarrass
1,velonew tom boonen happi amgen tour far hope first win sunday final stage
1,best year ever toss idea hawaii around mid jan mid feb california dream suuur
-1,notic use spanish abbrevi sure think miss rafa mon brave
1,today rare day democrat get healthier club growth scorecard republican
1,readi repli coal block congress new delhi aug ian bharatiya janata parti bjp
-1,gregg william may never find job nfl allow back snitchin make situat wors
-1,watch whole season breakout king find cancel fuck show
0,come parti tomorrow night napl main rick cafe
1,hey everyon excit cosplay casino night tomorrow center social justic
1,whatev plan may famili beauti weekend ying
1,saturday buy ticket belgium happi
0,gari carter screen content float free distribut platform opportun produc threat broadcast
0,heard epic new scifi adventur terra nova come way trailer feat dinosaur
1,fyi ridicul ador ladybug larri bird give piec candi produc director chri koch gorgeou daughter
-1,realli hope tonit lloyd robertson ask goto window yell mad hell go take anymor
0,soul train halloween parti sat oct adv tixx costum door
0,take photo eat halo halo tomorrow send josh bradley birthday
0,sunday scream pancak day
0,book swap saturday bring cooki
1,thing learn mlb playoff cougar town new network wait till januari
0,ole miss band fire rous verion dixi next tuesday night wan sing rachel
1,later start morn get stitch remov arm cumbria scotland tomorrow
-1,plant citi stapl know would friday night
1,today annual marijuana march toronto happi weed march everyon toronto cours
0,ricki pont pull sheffield shield game friday hamstr injuri
0,regist florida direct market associ nonprofit summit august
1,like love old movi amp live okinawa time saw happen nite aft
-1,brain fri turn feel like ground hog day may need shock treatment reboot
0,inbetween ben jerri tonight think
-1,game shotton call due waterlog pitch go llani wednesday night sorri lad
1,wish fifa would make leagu result tabl bit realist man utd releg zone game aston villa
1,yess pleas way long move go tricounti gon transfer clemson pleas come visit
0,go machin head sala razzmatazz barcelona spain nov
-1,leagu found barcelona real madrid play sunday need sleep pill
1,donat arsen aint win anythng commun shield yeah still silverwar
0,morn homeless men even charl dicken great great granddaught standard day yr bucksadschool
